time,instruction,arg_1,arg_2
0,PHONEME,rest
0,PHONEME,etc
0.08,PHONEME,AI
0.17,PHONEME,etc
0.25,PHONEME,AI
0.33,PHONEME,etc
0.58,PHONEME,AI
0.62,PHONEME,etc
0.79,PHONEME,AI
0.83,PHONEME,etc
0.88,PHONEME,MBP,1
1.0,PHONEME,AI
1.08,PHONEME,MBP,1
1.12,PHONEME,AI
1.17,PHONEME,etc
1.25,PHONEME,L
1.33,PHONEME,AI
1.38,PHONEME,etc
1.46,PHONEME,AI
1.54,PHONEME,etc
1.62,PHONEME,U
1.67,PHONEME,etc
2.04,PHONEME,U
2.34,PHONEME,rest,300
