state,interaction_name
IDLE,idle_1
ACTIVATING,waking
INTERRUPTED_ACTIVATING,waking_fast
ACTIVE,hi_hello_yes_you
ACTIVE,blinking
ACTIVE,dont_worry
ACTIVE,confused
ACTIVE,nothing_sticks
ACTIVE,blinking
ACTIVE,secret
ACTIVE,surprised_2
ACTIVE,do_you_really_mean
ACTIVE,blink
ACTIVE,dream_see_everything
ACTIVE,look_around
INTERRUPTED_DEACTIVATING,oh_youre_off
INTERRUPTED_DEACTIVATING,falling_asleep_fast
DEACTIVATING,bye_come_back_soon
DEACTIVATING,falling_asleep
