time,instruction,arg_1,arg_2
40.46,PHONEME,U
40.58,PHONEME,etc
40.71,PHONEME,AI
40.88,PHONEME,etc
40.96,PHONEME,AI
41.0,PHONEME,etc
41.12,PHONEME,rest
41.25,PHONEME,L
41.29,PHONEME,E
41.38,PHONEME,etc
41.42,PHONEME,AI
41.46,PHONEME,etc
41.58,PHONEME,AI
41.71,PHONEME,MBP
41.79,PHONEME,AI
41.92,PHONEME,etc
42.0,PHONEME,rest
