time,instruction,arg_1,arg_2
0.01,POSITION,'{"2": {"position": 1210, "speed": 8000}, "3": {"position": 1789, "speed": 8000}}',""
0.01,POSITION,'{"0": {"position": 2139, "speed": 8000}}',""
0.02,POSITION,'{"2": {"position": 1207, "speed": 8000}, "3": {"position": 1792, "speed": 8000}}',""
0.02,POSITION,'{"0": {"position": 2137, "speed": 8000}}',""
0.04,POSITION,'{"2": {"position": 1201, "speed": 8000}, "3": {"position": 1798, "speed": 8000}}',""
0.04,POSITION,'{"0": {"position": 2133, "speed": 8000}}',""
0.05,POSITION,'{"2": {"position": 1199, "speed": 8000}, "3": {"position": 1800, "speed": 8000}}',""
0.05,POSITION,'{"0": {"position": 2131, "speed": 8000}}',""
0.06,POSITION,'{"2": {"position": 1195, "speed": 8000}, "3": {"position": 1804, "speed": 8000}}',""
0.06,POSITION,'{"0": {"position": 2125, "speed": 8000}}',""
0.08,POSITION,'{"2": {"position": 1193, "speed": 8000}, "3": {"position": 1806, "speed": 8000}}',""
0.08,POSITION,'{"0": {"position": 2120, "speed": 8000}}',""
0.09,POSITION,'{"0": {"position": 2113, "speed": 8000}}',""
0.1,POSITION,'{"2": {"position": 1191, "speed": 8000}, "3": {"position": 1808, "speed": 8000}}',""
0.11,POSITION,'{"0": {"position": 2108, "speed": 8000}}',""
0.12,POSITION,'{"0": {"position": 2098, "speed": 8000}}',""
0.13,POSITION,'{"2": {"position": 1187, "speed": 8000}, "3": {"position": 1812, "speed": 8000}}',""
0.13,POSITION,'{"0": {"position": 2088, "speed": 8000}}',""
0.14,POSITION,'{"2": {"position": 1185, "speed": 8000}, "3": {"position": 1814, "speed": 8000}}',""
0.14,POSITION,'{"0": {"position": 2084, "speed": 8000}}',""
0.16,POSITION,'{"2": {"position": 1181, "speed": 8000}, "3": {"position": 1818, "speed": 8000}}',""
0.16,POSITION,'{"0": {"position": 2071, "speed": 8000}}',""
