time,instruction,arg_1,arg_2
0.55,POSITION,'{"2": {"position": 1581, "speed": 8000}, "3": {"position": 1418, "speed": 8000}}',
0.55,POSITION,'{"4": {"position": 1722, "speed": 8000}, "1": {"position": 1722, "speed": 8000}}',
0.56,POSITION,'{"2": {"position": 1572, "speed": 8000}, "3": {"position": 1427, "speed": 8000}}',
0.56,POSITION,'{"4": {"position": 1707, "speed": 8000}, "1": {"position": 1707, "speed": 8000}}',
0.58,POSITION,'{"2": {"position": 1565, "speed": 8000}, "3": {"position": 1434, "speed": 8000}}',
0.58,POSITION,'{"4": {"position": 1697, "speed": 8000}, "1": {"position": 1697, "speed": 8000}}',
0.59,POSITION,'{"2": {"position": 1563, "speed": 8000}, "3": {"position": 1436, "speed": 8000}}',
0.59,POSITION,'{"4": {"position": 1693, "speed": 8000}, "1": {"position": 1693, "speed": 8000}}',
0.6,POSITION,'{"2": {"position": 1561, "speed": 8000}, "3": {"position": 1438, "speed": 8000}}',
0.6,POSITION,'{"4": {"position": 1688, "speed": 8000}, "1": {"position": 1688, "speed": 8000}}',
0.61,POSITION,'{"2": {"position": 1558, "speed": 8000}, "3": {"position": 1441, "speed": 8000}}',
0.63,POSITION,'{"4": {"position": 1684, "speed": 8000}, "1": {"position": 1684, "speed": 8000}}',
0.64,POSITION,'{"2": {"position": 1556, "speed": 8000}, "3": {"position": 1443, "speed": 8000}}',
0.64,POSITION,'{"4": {"position": 1682, "speed": 8000}, "1": {"position": 1682, "speed": 8000}}',
0.67,POSITION,'{"4": {"position": 1691, "speed": 8000}, "1": {"position": 1691, "speed": 8000}}',
0.69,POSITION,'{"2": {"position": 1561, "speed": 8000}, "3": {"position": 1438, "speed": 8000}}',
0.69,POSITION,'{"4": {"position": 1701, "speed": 8000}, "1": {"position": 1701, "speed": 8000}}',
0.7,POSITION,'{"2": {"position": 1572, "speed": 8000}, "3": {"position": 1427, "speed": 8000}}',
0.7,POSITION,'{"4": {"position": 1722, "speed": 8000}, "1": {"position": 1722, "speed": 8000}}',
0.71,POSITION,'{"2": {"position": 1583, "speed": 8000}, "3": {"position": 1416, "speed": 8000}}',
0.71,POSITION,'{"4": {"position": 1740, "speed": 8000}, "1": {"position": 1740, "speed": 8000}}',
0.73,POSITION,'{"2": {"position": 1587, "speed": 8000}, "3": {"position": 1412, "speed": 8000}}',
0.73,POSITION,'{"4": {"position": 1747, "speed": 8000}, "1": {"position": 1747, "speed": 8000}}',
0.74,POSITION,'{"2": {"position": 1592, "speed": 8000}, "3": {"position": 1407, "speed": 8000}}',
0.74,POSITION,'{"4": {"position": 1757, "speed": 8000}, "1": {"position": 1757, "speed": 8000}}',
0.75,POSITION,'{"2": {"position": 1596, "speed": 8000}, "3": {"position": 1403, "speed": 8000}}',
0.75,POSITION,'{"4": {"position": 1764, "speed": 8000}, "1": {"position": 1764, "speed": 8000}}',
0.77,POSITION,'{"2": {"position": 1598, "speed": 8000}, "3": {"position": 1401, "speed": 8000}}',
0.77,POSITION,'{"4": {"position": 1766, "speed": 8000}, "1": {"position": 1766, "speed": 8000}}',
0.78,POSITION,'{"4": {"position": 1768, "speed": 8000}, "1": {"position": 1768, "speed": 8000}}',
0.79,POSITION,'{"4": {"position": 1759, "speed": 8000}, "1": {"position": 1759, "speed": 8000}}',
0.81,POSITION,'{"2": {"position": 1591, "speed": 8000}, "3": {"position": 1408, "speed": 8000}}',
0.81,POSITION,'{"4": {"position": 1749, "speed": 8000}, "1": {"position": 1749, "speed": 8000}}',
0.82,POSITION,'{"2": {"position": 1583, "speed": 8000}, "3": {"position": 1416, "speed": 8000}}',
0.82,POSITION,'{"4": {"position": 1736, "speed": 8000}, "1": {"position": 1736, "speed": 8000}}',
0.83,POSITION,'{"2": {"position": 1569, "speed": 8000}, "3": {"position": 1430, "speed": 8000}}',
0.83,POSITION,'{"4": {"position": 1714, "speed": 8000}, "1": {"position": 1714, "speed": 8000}}',
0.84,POSITION,'{"2": {"position": 1557, "speed": 8000}, "3": {"position": 1442, "speed": 8000}}',
0.85,POSITION,'{"4": {"position": 1697, "speed": 8000}, "1": {"position": 1697, "speed": 8000}}',
0.86,POSITION,'{"2": {"position": 1553, "speed": 8000}, "3": {"position": 1446, "speed": 8000}}',
0.86,POSITION,'{"4": {"position": 1692, "speed": 8000}, "1": {"position": 1692, "speed": 8000}}',
0.87,POSITION,'{"2": {"position": 1547, "speed": 8000}, "3": {"position": 1452, "speed": 8000}}',
0.87,POSITION,'{"4": {"position": 1685, "speed": 8000}, "1": {"position": 1685, "speed": 8000}}',
0.89,POSITION,'{"2": {"position": 1545, "speed": 8000}, "3": {"position": 1454, "speed": 8000}}',
0.89,POSITION,'{"4": {"position": 1682, "speed": 8000}, "1": {"position": 1682, "speed": 8000}}',
0.9,POSITION,'{"2": {"position": 1542, "speed": 8000}, "3": {"position": 1457, "speed": 8000}}',
0.91,POSITION,'{"4": {"position": 1687, "speed": 8000}, "1": {"position": 1687, "speed": 8000}}',
0.92,POSITION,'{"2": {"position": 1547, "speed": 8000}, "3": {"position": 1452, "speed": 8000}}',
0.93,POSITION,'{"4": {"position": 1693, "speed": 8000}, "1": {"position": 1693, "speed": 8000}}',
0.94,POSITION,'{"2": {"position": 1557, "speed": 8000}, "3": {"position": 1442, "speed": 8000}}',
0.94,POSITION,'{"4": {"position": 1707, "speed": 8000}, "1": {"position": 1707, "speed": 8000}}',
0.95,POSITION,'{"2": {"position": 1565, "speed": 8000}, "3": {"position": 1434, "speed": 8000}}',
0.95,POSITION,'{"4": {"position": 1718, "speed": 8000}, "1": {"position": 1718, "speed": 8000}}',
0.96,POSITION,'{"2": {"position": 1568, "speed": 8000}, "3": {"position": 1431, "speed": 8000}}',
0.96,POSITION,'{"4": {"position": 1722, "speed": 8000}, "1": {"position": 1722, "speed": 8000}}',
0.98,POSITION,'{"2": {"position": 1572, "speed": 8000}, "3": {"position": 1427, "speed": 8000}}',
0.98,POSITION,'{"4": {"position": 1729, "speed": 8000}, "1": {"position": 1729, "speed": 8000}}',
0.99,POSITION,'{"2": {"position": 1574, "speed": 8000}, "3": {"position": 1425, "speed": 8000}}',
0.99,POSITION,'{"4": {"position": 1733, "speed": 8000}, "1": {"position": 1733, "speed": 8000}}',
1.01,POSITION,'{"2": {"position": 1570, "speed": 8000}, "3": {"position": 1429, "speed": 8000}}',
1.02,POSITION,'{"4": {"position": 1727, "speed": 8000}, "1": {"position": 1727, "speed": 8000}}',
1.03,POSITION,'{"2": {"position": 1564, "speed": 8000}, "3": {"position": 1435, "speed": 8000}}',
1.03,POSITION,'{"4": {"position": 1719, "speed": 8000}, "1": {"position": 1719, "speed": 8000}}',
1.04,POSITION,'{"2": {"position": 1551, "speed": 8000}, "3": {"position": 1448, "speed": 8000}}',
1.04,POSITION,'{"4": {"position": 1705, "speed": 8000}, "1": {"position": 1705, "speed": 8000}}',
1.05,POSITION,'{"2": {"position": 1545, "speed": 8000}, "3": {"position": 1454, "speed": 8000}}',
1.05,POSITION,'{"4": {"position": 1700, "speed": 8000}, "1": {"position": 1700, "speed": 8000}}',
1.07,POSITION,'{"2": {"position": 1538, "speed": 8000}, "3": {"position": 1461, "speed": 8000}}',
1.07,POSITION,'{"4": {"position": 1693, "speed": 8000}, "1": {"position": 1693, "speed": 8000}}',
1.08,POSITION,'{"2": {"position": 1535, "speed": 8000}, "3": {"position": 1464, "speed": 8000}}',
1.09,POSITION,'{"2": {"position": 1532, "speed": 8000}, "3": {"position": 1467, "speed": 8000}}',
1.09,POSITION,'{"4": {"position": 1695, "speed": 8000}, "1": {"position": 1695, "speed": 8000}}',
1.11,POSITION,'{"4": {"position": 1703, "speed": 8000}, "1": {"position": 1703, "speed": 8000}}',
1.12,POSITION,'{"2": {"position": 1540, "speed": 8000}, "3": {"position": 1459, "speed": 8000}}',
1.12,POSITION,'{"4": {"position": 1726, "speed": 8000}, "1": {"position": 1726, "speed": 8000}}',
1.13,POSITION,'{"2": {"position": 1553, "speed": 8000}, "3": {"position": 1446, "speed": 8000}}',
1.13,POSITION,'{"4": {"position": 1748, "speed": 8000}, "1": {"position": 1748, "speed": 8000}}',
1.14,POSITION,'{"2": {"position": 1559, "speed": 8000}, "3": {"position": 1440, "speed": 8000}}',
1.14,POSITION,'{"4": {"position": 1758, "speed": 8000}, "1": {"position": 1758, "speed": 8000}}',
1.16,POSITION,'{"2": {"position": 1569, "speed": 8000}, "3": {"position": 1430, "speed": 8000}}',
1.16,POSITION,'{"4": {"position": 1772, "speed": 8000}, "1": {"position": 1772, "speed": 8000}}',
1.17,POSITION,'{"2": {"position": 1575, "speed": 8000}, "3": {"position": 1424, "speed": 8000}}',
1.17,POSITION,'{"4": {"position": 1782, "speed": 8000}, "1": {"position": 1782, "speed": 8000}}',
1.18,POSITION,'{"2": {"position": 1577, "speed": 8000}, "3": {"position": 1422, "speed": 8000}}',
1.18,POSITION,'{"4": {"position": 1784, "speed": 8000}, "1": {"position": 1784, "speed": 8000}}',
1.2,POSITION,'{"4": {"position": 1781, "speed": 8000}, "1": {"position": 1781, "speed": 8000}}',
1.21,POSITION,'{"2": {"position": 1571, "speed": 8000}, "3": {"position": 1428, "speed": 8000}}',
1.21,POSITION,'{"4": {"position": 1774, "speed": 8000}, "1": {"position": 1774, "speed": 8000}}',
