time,instruction,arg_1,arg_2
0.03,POSITION,'{"8": {"position": 805, "speed": 8000}, "9": {"position": 2194, "speed": 8000}, "10": {"position": 2194, "speed": 8000}, "11": {"position": 805, "speed": 8000}}',"\"\""
0.05,POSITION,'{"8": {"position": 812, "speed": 8000}, "9": {"position": 2187, "speed": 8000}, "10": {"position": 2187, "speed": 8000}, "11": {"position": 812, "speed": 8000}}',"\"\""
0.06,POSITION,'{"8": {"position": 815, "speed": 8000}, "9": {"position": 2184, "speed": 8000}, "10": {"position": 2184, "speed": 8000}, "11": {"position": 815, "speed": 8000}}',"\"\""
0.07,POSITION,'{"8": {"position": 820, "speed": 8000}, "9": {"position": 2179, "speed": 8000}, "10": {"position": 2179, "speed": 8000}, "11": {"position": 820, "speed": 8000}}',"\"\""
0.08,POSITION,'{"8": {"position": 822, "speed": 8000}, "9": {"position": 2177, "speed": 8000}, "10": {"position": 2177, "speed": 8000}, "11": {"position": 822, "speed": 8000}}',"\"\""
0.1,POSITION,'{"8": {"position": 827, "speed": 8000}, "9": {"position": 2172, "speed": 8000}, "10": {"position": 2172, "speed": 8000}, "11": {"position": 827, "speed": 8000}}',"\"\""
0.11,POSITION,'{"8": {"position": 829, "speed": 8000}, "9": {"position": 2170, "speed": 8000}, "10": {"position": 2170, "speed": 8000}, "11": {"position": 829, "speed": 8000}}',"\"\""
0.12,POSITION,'{"8": {"position": 833, "speed": 8000}, "9": {"position": 2166, "speed": 8000}, "10": {"position": 2166, "speed": 8000}, "11": {"position": 833, "speed": 8000}}',"\"\""
0.13,POSITION,'{"8": {"position": 836, "speed": 8000}, "9": {"position": 2163, "speed": 8000}, "10": {"position": 2163, "speed": 8000}, "11": {"position": 836, "speed": 8000}}',"\"\""
0.14,POSITION,'{"8": {"position": 842, "speed": 8000}, "9": {"position": 2157, "speed": 8000}, "10": {"position": 2157, "speed": 8000}, "11": {"position": 842, "speed": 8000}}',"\"\""
0.15,POSITION,'{"8": {"position": 847, "speed": 8000}, "9": {"position": 2152, "speed": 8000}, "10": {"position": 2152, "speed": 8000}, "11": {"position": 847, "speed": 8000}}',"\"\""
0.17,POSITION,'{"8": {"position": 859, "speed": 8000}, "9": {"position": 2140, "speed": 8000}, "10": {"position": 2140, "speed": 8000}, "11": {"position": 859, "speed": 8000}}',"\"\""
0.18,POSITION,'{"8": {"position": 865, "speed": 8000}, "9": {"position": 2134, "speed": 8000}, "10": {"position": 2134, "speed": 8000}, "11": {"position": 865, "speed": 8000}}',"\"\""
0.19,POSITION,'{"8": {"position": 869, "speed": 8000}, "9": {"position": 2130, "speed": 8000}, "10": {"position": 2130, "speed": 8000}, "11": {"position": 869, "speed": 8000}}',"\"\""
0.2,POSITION,'{"8": {"position": 878, "speed": 8000}, "9": {"position": 2121, "speed": 8000}, "10": {"position": 2121, "speed": 8000}, "11": {"position": 878, "speed": 8000}}',"\"\""
0.21,POSITION,'{"8": {"position": 886, "speed": 8000}, "9": {"position": 2113, "speed": 8000}, "10": {"position": 2113, "speed": 8000}, "11": {"position": 886, "speed": 8000}}',"\"\""
0.23,POSITION,'{"8": {"position": 890, "speed": 8000}, "9": {"position": 2109, "speed": 8000}, "10": {"position": 2109, "speed": 8000}, "11": {"position": 890, "speed": 8000}}',"\"\""
0.24,POSITION,'{"8": {"position": 894, "speed": 8000}, "9": {"position": 2105, "speed": 8000}, "10": {"position": 2105, "speed": 8000}, "11": {"position": 894, "speed": 8000}}',"\"\""
0.25,POSITION,'{"8": {"position": 898, "speed": 8000}, "9": {"position": 2101, "speed": 8000}, "10": {"position": 2101, "speed": 8000}, "11": {"position": 898, "speed": 8000}}',"\"\""
0.26,POSITION,'{"8": {"position": 907, "speed": 8000}, "9": {"position": 2092, "speed": 8000}, "10": {"position": 2092, "speed": 8000}, "11": {"position": 907, "speed": 8000}}',"\"\""
0.27,POSITION,'{"8": {"position": 913, "speed": 8000}, "9": {"position": 2086, "speed": 8000}, "10": {"position": 2086, "speed": 8000}, "11": {"position": 913, "speed": 8000}}',"\"\""
0.28,POSITION,'{"8": {"position": 922, "speed": 8000}, "9": {"position": 2077, "speed": 8000}, "10": {"position": 2077, "speed": 8000}, "11": {"position": 922, "speed": 8000}}',"\"\""
0.3,POSITION,'{"8": {"position": 925, "speed": 8000}, "9": {"position": 2074, "speed": 8000}, "10": {"position": 2074, "speed": 8000}, "11": {"position": 925, "speed": 8000}}',"\"\""
0.31,POSITION,'{"8": {"position": 930, "speed": 8000}, "9": {"position": 2069, "speed": 8000}, "10": {"position": 2069, "speed": 8000}, "11": {"position": 930, "speed": 8000}}',"\"\""
0.33,POSITION,'{"8": {"position": 933, "speed": 8000}, "9": {"position": 2066, "speed": 8000}, "10": {"position": 2066, "speed": 8000}, "11": {"position": 933, "speed": 8000}}',"\"\""
0.34,POSITION,'{"8": {"position": 935, "speed": 8000}, "9": {"position": 2064, "speed": 8000}, "10": {"position": 2064, "speed": 8000}, "11": {"position": 935, "speed": 8000}}',"\"\""
0.37,POSITION,'{"8": {"position": 938, "speed": 8000}, "9": {"position": 2061, "speed": 8000}, "10": {"position": 2061, "speed": 8000}, "11": {"position": 938, "speed": 8000}}',"\"\""
0.38,POSITION,'{"8": {"position": 941, "speed": 8000}, "9": {"position": 2058, "speed": 8000}, "10": {"position": 2058, "speed": 8000}, "11": {"position": 941, "speed": 8000}}',"\"\""
0.4,POSITION,'{"8": {"position": 947, "speed": 8000}, "9": {"position": 2052, "speed": 8000}, "10": {"position": 2052, "speed": 8000}, "11": {"position": 947, "speed": 8000}}',"\"\""
