time,instruction,arg_1,arg_2
0.05,POSITION,'{"2": {"position": 1877, "speed": 8000}, "3": {"position": 1122, "speed": 8000}}',""
0.06,POSITION,'{"4": {"position": 880, "speed": 8000}, "1": {"position": 880, "speed": 8000}}',""
0.06,POSITION,'{"2": {"position": 1895, "speed": 8000}, "3": {"position": 1104, "speed": 8000}}',""
0.08,POSITION,'{"4": {"position": 886, "speed": 8000}, "1": {"position": 886, "speed": 8000}}',""
0.08,POSITION,'{"2": {"position": 1907, "speed": 8000}, "3": {"position": 1092, "speed": 8000}}',""
0.09,POSITION,'{"4": {"position": 898, "speed": 8000}, "1": {"position": 898, "speed": 8000}}',""
0.09,POSITION,'{"2": {"position": 1926, "speed": 8000}, "3": {"position": 1073, "speed": 8000}}',""
0.1,POSITION,'{"4": {"position": 907, "speed": 8000}, "1": {"position": 907, "speed": 8000}}',""
0.1,POSITION,'{"2": {"position": 1939, "speed": 8000}, "3": {"position": 1060, "speed": 8000}}',""
0.12,POSITION,'{"4": {"position": 910, "speed": 8000}, "1": {"position": 910, "speed": 8000}}',""
0.12,POSITION,'{"2": {"position": 1944, "speed": 8000}, "3": {"position": 1055, "speed": 8000}}',""
0.13,POSITION,'{"4": {"position": 914, "speed": 8000}, "1": {"position": 914, "speed": 8000}}',""
0.13,POSITION,'{"2": {"position": 1951, "speed": 8000}, "3": {"position": 1048, "speed": 8000}}',""
0.14,POSITION,'{"4": {"position": 917, "speed": 8000}, "1": {"position": 917, "speed": 8000}}',""
0.14,POSITION,'{"2": {"position": 1953, "speed": 8000}, "3": {"position": 1046, "speed": 8000}}',""
0.15,POSITION,'{"2": {"position": 1956, "speed": 8000}, "3": {"position": 1043, "speed": 8000}}',""
0.17,POSITION,'{"4": {"position": 919, "speed": 8000}, "1": {"position": 919, "speed": 8000}}',""
0.18,POSITION,'{"2": {"position": 1958, "speed": 8000}, "3": {"position": 1041, "speed": 8000}}',""
0.2,POSITION,'{"4": {"position": 921, "speed": 8000}, "1": {"position": 921, "speed": 8000}}',""
0.23,POSITION,'{"2": {"position": 1955, "speed": 8000}, "3": {"position": 1044, "speed": 8000}}',""
0.25,POSITION,'{"2": {"position": 1949, "speed": 8000}, "3": {"position": 1050, "speed": 8000}}',""
0.26,POSITION,'{"2": {"position": 1944, "speed": 8000}, "3": {"position": 1055, "speed": 8000}}',""
0.27,POSITION,'{"2": {"position": 1932, "speed": 8000}, "3": {"position": 1067, "speed": 8000}}',""
0.28,POSITION,'{"2": {"position": 1926, "speed": 8000}, "3": {"position": 1073, "speed": 8000}}',""
0.3,POSITION,'{"4": {"position": 919, "speed": 8000}, "1": {"position": 919, "speed": 8000}}',""
0.3,POSITION,'{"2": {"position": 1917, "speed": 8000}, "3": {"position": 1082, "speed": 8000}}',""
0.31,POSITION,'{"4": {"position": 917, "speed": 8000}, "1": {"position": 917, "speed": 8000}}',""
0.31,POSITION,'{"2": {"position": 1913, "speed": 8000}, "3": {"position": 1086, "speed": 8000}}',""
0.32,POSITION,'{"4": {"position": 915, "speed": 8000}, "1": {"position": 915, "speed": 8000}}',""
0.32,POSITION,'{"2": {"position": 1908, "speed": 8000}, "3": {"position": 1091, "speed": 8000}}',""
0.34,POSITION,'{"2": {"position": 1905, "speed": 8000}, "3": {"position": 1094, "speed": 8000}}',""
0.35,POSITION,'{"2": {"position": 1902, "speed": 8000}, "3": {"position": 1097, "speed": 8000}}',""
0.36,POSITION,'{"2": {"position": 1900, "speed": 8000}, "3": {"position": 1099, "speed": 8000}}',""
0.38,POSITION,'{"4": {"position": 913, "speed": 8000}, "1": {"position": 913, "speed": 8000}}',""
0.39,POSITION,'{"2": {"position": 1898, "speed": 8000}, "3": {"position": 1101, "speed": 8000}}',""
0.42,POSITION,'{"2": {"position": 1895, "speed": 8000}, "3": {"position": 1104, "speed": 8000}}',""
0.44,POSITION,'{"4": {"position": 911, "speed": 8000}, "1": {"position": 911, "speed": 8000}}',""
0.44,POSITION,'{"2": {"position": 1892, "speed": 8000}, "3": {"position": 1107, "speed": 8000}}',""
0.45,POSITION,'{"2": {"position": 1890, "speed": 8000}, "3": {"position": 1109, "speed": 8000}}',""
0.46,POSITION,'{"4": {"position": 909, "speed": 8000}, "1": {"position": 909, "speed": 8000}}',""
0.46,POSITION,'{"2": {"position": 1887, "speed": 8000}, "3": {"position": 1112, "speed": 8000}}',""
0.47,POSITION,'{"2": {"position": 1885, "speed": 8000}, "3": {"position": 1114, "speed": 8000}}',""
0.48,POSITION,'{"2": {"position": 1883, "speed": 8000}, "3": {"position": 1116, "speed": 8000}}',""
0.5,POSITION,'{"4": {"position": 906, "speed": 8000}, "1": {"position": 906, "speed": 8000}}',""
0.53,POSITION,'{"4": {"position": 903, "speed": 8000}, "1": {"position": 903, "speed": 8000}}',""
0.53,POSITION,'{"2": {"position": 1878, "speed": 8000}, "3": {"position": 1121, "speed": 8000}}',""
0.55,POSITION,'{"4": {"position": 901, "speed": 8000}, "1": {"position": 901, "speed": 8000}}',""
0.55,POSITION,'{"2": {"position": 1875, "speed": 8000}, "3": {"position": 1124, "speed": 8000}}',""
0.56,POSITION,'{"4": {"position": 898, "speed": 8000}, "1": {"position": 898, "speed": 8000}}',""
0.56,POSITION,'{"2": {"position": 1870, "speed": 8000}, "3": {"position": 1129, "speed": 8000}}',""
0.57,POSITION,'{"2": {"position": 1867, "speed": 8000}, "3": {"position": 1132, "speed": 8000}}',""
0.59,POSITION,'{"4": {"position": 894, "speed": 8000}, "1": {"position": 894, "speed": 8000}}',""
0.59,POSITION,'{"2": {"position": 1862, "speed": 8000}, "3": {"position": 1137, "speed": 8000}}',""
0.6,POSITION,'{"4": {"position": 892, "speed": 8000}, "1": {"position": 892, "speed": 8000}}',""
0.6,POSITION,'{"2": {"position": 1858, "speed": 8000}, "3": {"position": 1141, "speed": 8000}}',""
0.61,POSITION,'{"4": {"position": 890, "speed": 8000}, "1": {"position": 890, "speed": 8000}}',""
0.61,POSITION,'{"2": {"position": 1856, "speed": 8000}, "3": {"position": 1143, "speed": 8000}}',""
0.63,POSITION,'{"2": {"position": 1852, "speed": 8000}, "3": {"position": 1147, "speed": 8000}}',""
0.64,POSITION,'{"2": {"position": 1848, "speed": 8000}, "3": {"position": 1151, "speed": 8000}}',""
0.65,POSITION,'{"4": {"position": 887, "speed": 8000}, "1": {"position": 887, "speed": 8000}}',""
0.65,POSITION,'{"2": {"position": 1846, "speed": 8000}, "3": {"position": 1153, "speed": 8000}}',""
0.67,POSITION,'{"4": {"position": 885, "speed": 8000}, "1": {"position": 885, "speed": 8000}}',""
0.67,POSITION,'{"2": {"position": 1843, "speed": 8000}, "3": {"position": 1156, "speed": 8000}}',""
0.68,POSITION,'{"4": {"position": 883, "speed": 8000}, "1": {"position": 883, "speed": 8000}}',""
0.68,POSITION,'{"2": {"position": 1839, "speed": 8000}, "3": {"position": 1160, "speed": 8000}}',""
0.69,POSITION,'{"4": {"position": 881, "speed": 8000}, "1": {"position": 881, "speed": 8000}}',""
0.69,POSITION,'{"2": {"position": 1837, "speed": 8000}, "3": {"position": 1162, "speed": 8000}}',""
0.71,POSITION,'{"2": {"position": 1834, "speed": 8000}, "3": {"position": 1165, "speed": 8000}}',""
0.72,POSITION,'{"4": {"position": 878, "speed": 8000}, "1": {"position": 878, "speed": 8000}}',""
0.73,POSITION,'{"2": {"position": 1832, "speed": 8000}, "3": {"position": 1167, "speed": 8000}}',""
0.75,POSITION,'{"4": {"position": 875, "speed": 8000}, "1": {"position": 875, "speed": 8000}}',""
0.77,POSITION,'{"2": {"position": 1829, "speed": 8000}, "3": {"position": 1170, "speed": 8000}}',""
0.78,POSITION,'{"4": {"position": 873, "speed": 8000}, "1": {"position": 873, "speed": 8000}}',""
0.78,POSITION,'{"2": {"position": 1827, "speed": 8000}, "3": {"position": 1172, "speed": 8000}}',""
0.79,POSITION,'{"2": {"position": 1823, "speed": 8000}, "3": {"position": 1176, "speed": 8000}}',""
0.8,POSITION,'{"2": {"position": 1819, "speed": 8000}, "3": {"position": 1180, "speed": 8000}}',""
0.82,POSITION,'{"4": {"position": 869, "speed": 8000}, "1": {"position": 869, "speed": 8000}}',""
0.82,POSITION,'{"2": {"position": 1811, "speed": 8000}, "3": {"position": 1188, "speed": 8000}}',""
0.83,POSITION,'{"4": {"position": 867, "speed": 8000}, "1": {"position": 867, "speed": 8000}}',""
0.83,POSITION,'{"2": {"position": 1806, "speed": 8000}, "3": {"position": 1193, "speed": 8000}}',""
0.84,POSITION,'{"4": {"position": 863, "speed": 8000}, "1": {"position": 863, "speed": 8000}}',""
0.84,POSITION,'{"2": {"position": 1797, "speed": 8000}, "3": {"position": 1202, "speed": 8000}}',""
0.86,POSITION,'{"4": {"position": 861, "speed": 8000}, "1": {"position": 861, "speed": 8000}}',""
0.86,POSITION,'{"2": {"position": 1792, "speed": 8000}, "3": {"position": 1207, "speed": 8000}}',""
0.87,POSITION,'{"4": {"position": 855, "speed": 8000}, "1": {"position": 855, "speed": 8000}}',""
0.87,POSITION,'{"2": {"position": 1782, "speed": 8000}, "3": {"position": 1217, "speed": 8000}}',""
0.88,POSITION,'{"4": {"position": 851, "speed": 8000}, "1": {"position": 851, "speed": 8000}}',""
0.89,POSITION,'{"2": {"position": 1774, "speed": 8000}, "3": {"position": 1225, "speed": 8000}}',""
0.9,POSITION,'{"4": {"position": 849, "speed": 8000}, "1": {"position": 849, "speed": 8000}}',""
0.9,POSITION,'{"2": {"position": 1771, "speed": 8000}, "3": {"position": 1228, "speed": 8000}}',""
0.91,POSITION,'{"2": {"position": 1766, "speed": 8000}, "3": {"position": 1233, "speed": 8000}}',""
0.92,POSITION,'{"4": {"position": 846, "speed": 8000}, "1": {"position": 846, "speed": 8000}}',""
0.94,POSITION,'{"4": {"position": 844, "speed": 8000}, "1": {"position": 844, "speed": 8000}}',""
0.94,POSITION,'{"2": {"position": 1763, "speed": 8000}, "3": {"position": 1236, "speed": 8000}}',""
0.95,POSITION,'{"2": {"position": 1761, "speed": 8000}, "3": {"position": 1238, "speed": 8000}}',""
1.04,POSITION,'{"2": {"position": 1764, "speed": 8000}, "3": {"position": 1235, "speed": 8000}}',""
1.05,POSITION,'{"2": {"position": 1766, "speed": 8000}, "3": {"position": 1233, "speed": 8000}}',""
1.06,POSITION,'{"2": {"position": 1768, "speed": 8000}, "3": {"position": 1231, "speed": 8000}}',""
1.08,POSITION,'{"2": {"position": 1771, "speed": 8000}, "3": {"position": 1228, "speed": 8000}}',""
1.1,POSITION,'{"2": {"position": 1774, "speed": 8000}, "3": {"position": 1225, "speed": 8000}}',""
1.12,POSITION,'{"2": {"position": 1776, "speed": 8000}, "3": {"position": 1223, "speed": 8000}}',""
1.14,POSITION,'{"2": {"position": 1778, "speed": 8000}, "3": {"position": 1221, "speed": 8000}}',""
1.17,POSITION,'{"2": {"position": 1780, "speed": 8000}, "3": {"position": 1219, "speed": 8000}}',""
1.18,POSITION,'{"2": {"position": 1784, "speed": 8000}, "3": {"position": 1215, "speed": 8000}}',""
1.19,POSITION,'{"2": {"position": 1788, "speed": 8000}, "3": {"position": 1211, "speed": 8000}}',""
