time,instruction,arg_1,arg_2
3.67,POSITION,'{"8": {"position": 2061, "speed": 8000}, "9": {"position": 938, "speed": 8000}, "10": {"position": 938, "speed": 8000}, "11": {"position": 2061, "speed": 8000}}',
3.69,POSITION,'{"8": {"position": 2059, "speed": 8000}, "9": {"position": 940, "speed": 8000}, "10": {"position": 940, "speed": 8000}, "11": {"position": 2059, "speed": 8000}}',
3.7,POSITION,{},
3.7,POSITION,'{"8": {"position": 2053, "speed": 8000}, "9": {"position": 946, "speed": 8000}, "10": {"position": 946, "speed": 8000}, "11": {"position": 2053, "speed": 8000}}',
3.72,POSITION,'{"8": {"position": 2051, "speed": 8000}, "9": {"position": 948, "speed": 8000}, "10": {"position": 948, "speed": 8000}, "11": {"position": 2051, "speed": 8000}}',
3.73,POSITION,'{"8": {"position": 2047, "speed": 8000}, "9": {"position": 952, "speed": 8000}, "10": {"position": 952, "speed": 8000}, "11": {"position": 2047, "speed": 8000}}',
3.74,POSITION,{},
3.74,POSITION,'{"8": {"position": 2045, "speed": 8000}, "9": {"position": 954, "speed": 8000}, "10": {"position": 954, "speed": 8000}, "11": {"position": 2045, "speed": 8000}}',
3.75,POSITION,'{"8": {"position": 2042, "speed": 8000}, "9": {"position": 957, "speed": 8000}, "10": {"position": 957, "speed": 8000}, "11": {"position": 2042, "speed": 8000}}',
3.76,POSITION,'{"8": {"position": 2040, "speed": 8000}, "9": {"position": 959, "speed": 8000}, "10": {"position": 959, "speed": 8000}, "11": {"position": 2040, "speed": 8000}}',
3.78,POSITION,'{"8": {"position": 2037, "speed": 8000}, "9": {"position": 962, "speed": 8000}, "10": {"position": 962, "speed": 8000}, "11": {"position": 2037, "speed": 8000}}',
3.8,POSITION,'{"8": {"position": 2035, "speed": 8000}, "9": {"position": 964, "speed": 8000}, "10": {"position": 964, "speed": 8000}, "11": {"position": 2035, "speed": 8000}}',
3.83,POSITION,'{"8": {"position": 2032, "speed": 8000}, "9": {"position": 967, "speed": 8000}, "10": {"position": 967, "speed": 8000}, "11": {"position": 2032, "speed": 8000}}',
4.01,POSITION,'{"8": {"position": 2029, "speed": 8000}, "9": {"position": 970, "speed": 8000}, "10": {"position": 970, "speed": 8000}, "11": {"position": 2029, "speed": 8000}}',
