time,instruction,arg_1,arg_2
0.0,POSITION,{},""
0.61,POSITION,'{"8": {"position": 1789, "speed": 4000}, "9": {"position": 1250, "speed": 4000}, "10": {"position": 1260, "speed": 4000}, "11": {"position": 1719, "speed": 4000}}',""
0.71,POSITION,'{"0": {"position": 2144, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 2133, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 2089, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1935, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1910, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 1887, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1861, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1808, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1768, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1756, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1765, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1964, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 1985, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 2179, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 1915, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1888, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 1591, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 1403, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1202, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 1184, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 1182, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1349, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1368, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1563, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 1587, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 1739, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 1733, "speed": 8000}}',""
