time,instruction,arg_1,arg_2
0.04,POSITION,'{"7": {"position": 1520, "speed": 8000}, "6": {"position": 1536, "speed": 8000}}',""
0.04,POSITION,'{"5": {"position": 1248, "speed": 8000}}',""
0.05,POSITION,'{"7": {"position": 1516, "speed": 8000}, "6": {"position": 1541, "speed": 8000}}',""
0.06,POSITION,'{"5": {"position": 1242, "speed": 8000}}',""
0.08,POSITION,'{"7": {"position": 1511, "speed": 8000}, "6": {"position": 1548, "speed": 8000}}',""
0.09,POSITION,'{"5": {"position": 1234, "speed": 8000}}',""
0.12,POSITION,'{"7": {"position": 1505, "speed": 8000}, "6": {"position": 1555, "speed": 8000}}',""
0.13,POSITION,'{"7": {"position": 1501, "speed": 8000}, "6": {"position": 1560, "speed": 8000}}',""
0.13,POSITION,'{"5": {"position": 1231, "speed": 8000}}',""
0.15,POSITION,'{"7": {"position": 1496, "speed": 8000}, "6": {"position": 1567, "speed": 8000}}',""
0.16,POSITION,'{"7": {"position": 1490, "speed": 8000}, "6": {"position": 1573, "speed": 8000}}',""
0.18,POSITION,'{"7": {"position": 1485, "speed": 8000}, "6": {"position": 1580, "speed": 8000}}',""
0.18,POSITION,'{"5": {"position": 1233, "speed": 8000}}',""
0.19,POSITION,'{"7": {"position": 1480, "speed": 8000}, "6": {"position": 1586, "speed": 8000}}',""
0.19,POSITION,'{"5": {"position": 1240, "speed": 8000}}',""
0.2,POSITION,'{"7": {"position": 1477, "speed": 8000}, "6": {"position": 1590, "speed": 8000}}',""
0.2,POSITION,'{"5": {"position": 1245, "speed": 8000}}',""
0.21,POSITION,'{"7": {"position": 1472, "speed": 8000}, "6": {"position": 1597, "speed": 8000}}',""
0.21,POSITION,'{"5": {"position": 1255, "speed": 8000}}',""
0.23,POSITION,'{"7": {"position": 1467, "speed": 8000}, "6": {"position": 1603, "speed": 8000}}',""
0.23,POSITION,'{"5": {"position": 1265, "speed": 8000}}',""
0.25,POSITION,'{"7": {"position": 1463, "speed": 8000}, "6": {"position": 1608, "speed": 8000}}',""
0.25,POSITION,'{"5": {"position": 1276, "speed": 8000}}',""
0.26,POSITION,'{"7": {"position": 1460, "speed": 8000}, "6": {"position": 1611, "speed": 8000}}',""
0.26,POSITION,'{"5": {"position": 1284, "speed": 8000}}',""
0.27,POSITION,'{"7": {"position": 1459, "speed": 8000}, "6": {"position": 1613, "speed": 8000}}',""
0.28,POSITION,'{"5": {"position": 1286, "speed": 8000}}',""
0.29,POSITION,'{"7": {"position": 1457, "speed": 8000}, "6": {"position": 1615, "speed": 8000}}',""
0.29,POSITION,'{"5": {"position": 1288, "speed": 8000}}',""
0.3,POSITION,'{"7": {"position": 1456, "speed": 8000}, "6": {"position": 1617, "speed": 8000}}',""
0.3,POSITION,'{"5": {"position": 1291, "speed": 8000}}',""
0.32,POSITION,'{"5": {"position": 1294, "speed": 8000}}',""
0.33,POSITION,'{"7": {"position": 1454, "speed": 8000}, "6": {"position": 1618, "speed": 8000}}',""
0.33,POSITION,'{"5": {"position": 1296, "speed": 8000}}',""
0.35,POSITION,'{"5": {"position": 1298, "speed": 8000}}',""
0.4,POSITION,'{"7": {"position": 1453, "speed": 8000}, "6": {"position": 1620, "speed": 8000}}',""
0.4,POSITION,'{"5": {"position": 1301, "speed": 8000}}',""
0.42,POSITION,'{"5": {"position": 1305, "speed": 8000}}',""
0.43,POSITION,'{"5": {"position": 1309, "speed": 8000}}',""
0.44,POSITION,'{"5": {"position": 1316, "speed": 8000}}',""
0.46,POSITION,'{"7": {"position": 1452, "speed": 8000}, "6": {"position": 1622, "speed": 8000}}',""
0.46,POSITION,'{"5": {"position": 1323, "speed": 8000}}',""
0.47,POSITION,'{"5": {"position": 1327, "speed": 8000}}',""
0.48,POSITION,'{"5": {"position": 1332, "speed": 8000}}',""
0.49,POSITION,'{"5": {"position": 1334, "speed": 8000}}',""
0.5,POSITION,'{"7": {"position": 1450, "speed": 8000}, "6": {"position": 1623, "speed": 8000}}',""
0.5,POSITION,'{"5": {"position": 1337, "speed": 8000}}',""
0.53,POSITION,'{"5": {"position": 1339, "speed": 8000}}',""
0.55,POSITION,'{"7": {"position": 1449, "speed": 8000}, "6": {"position": 1625, "speed": 8000}}',""
0.58,POSITION,'{"7": {"position": 1447, "speed": 8000}, "6": {"position": 1627, "speed": 8000}}',""
0.6,POSITION,'{"5": {"position": 1337, "speed": 8000}}',""
0.64,POSITION,'{"5": {"position": 1334, "speed": 8000}}',""
0.71,POSITION,'{"7": {"position": 1446, "speed": 8000}, "6": {"position": 1629, "speed": 8000}}',""
0.73,POSITION,'{"5": {"position": 1337, "speed": 8000}}',""
0.74,POSITION,'{"5": {"position": 1343, "speed": 8000}}',""
0.75,POSITION,'{"5": {"position": 1346, "speed": 8000}}',""
0.77,POSITION,'{"5": {"position": 1352, "speed": 8000}}',""
0.78,POSITION,'{"5": {"position": 1361, "speed": 8000}}',""
0.79,POSITION,'{"5": {"position": 1367, "speed": 8000}}',""
0.8,POSITION,'{"5": {"position": 1380, "speed": 8000}}',""
0.81,POSITION,'{"5": {"position": 1387, "speed": 8000}}',""
0.83,POSITION,'{"5": {"position": 1404, "speed": 8000}}',""
0.84,POSITION,'{"5": {"position": 1412, "speed": 8000}}',""
0.85,POSITION,'{"5": {"position": 1424, "speed": 8000}}',""
0.87,POSITION,'{"5": {"position": 1429, "speed": 8000}}',""
0.88,POSITION,'{"5": {"position": 1437, "speed": 8000}}',""
0.89,POSITION,'{"5": {"position": 1443, "speed": 8000}}',""
0.9,POSITION,'{"5": {"position": 1459, "speed": 8000}}',""
0.92,POSITION,'{"5": {"position": 1469, "speed": 8000}}',""
0.93,POSITION,'{"5": {"position": 1488, "speed": 8000}}',""
0.94,POSITION,'{"5": {"position": 1495, "speed": 8000}}',""
0.95,POSITION,'{"5": {"position": 1508, "speed": 8000}}',""
0.97,POSITION,'{"5": {"position": 1514, "speed": 8000}}',""
0.98,POSITION,'{"5": {"position": 1526, "speed": 8000}}',""
0.99,POSITION,'{"5": {"position": 1541, "speed": 8000}}',""
1.01,POSITION,'{"5": {"position": 1549, "speed": 8000}}',""
1.02,POSITION,'{"5": {"position": 1568, "speed": 8000}}',""
1.03,POSITION,'{"5": {"position": 1580, "speed": 8000}}',""
1.04,POSITION,'{"5": {"position": 1601, "speed": 8000}}',""
