time,instruction,arg_1,arg_2
0.01,POSITION,'{"0": {"position": 2146, "speed": 8000}}',""
0.07,POSITION,'{"0": {"position": 2144, "speed": 8000}}',""
0.12,POSITION,'{"0": {"position": 2137, "speed": 8000}}',""
0.13,POSITION,'{"0": {"position": 2134, "speed": 8000}}',""
0.15,POSITION,'{"0": {"position": 2127, "speed": 8000}}',""
0.16,POSITION,'{"0": {"position": 2122, "speed": 8000}}',""
0.17,POSITION,'{"0": {"position": 2120, "speed": 8000}}',""
0.18,POSITION,'{"0": {"position": 2115, "speed": 8000}}',""
0.19,POSITION,'{"0": {"position": 2112, "speed": 8000}}',""
0.21,POSITION,'{"0": {"position": 2103, "speed": 8000}}',""
0.22,POSITION,'{"0": {"position": 2094, "speed": 8000}}',""
0.23,POSITION,'{"0": {"position": 2090, "speed": 8000}}',""
0.25,POSITION,'{"0": {"position": 2084, "speed": 8000}}',""
0.26,POSITION,'{"2": {"position": 1440, "speed": 8000}, "3": {"position": 1559, "speed": 8000}}',""
0.26,POSITION,'{"0": {"position": 2057, "speed": 8000}}',""
0.27,POSITION,'{"2": {"position": 1458, "speed": 8000}, "3": {"position": 1541, "speed": 8000}}',""
0.27,POSITION,'{"4": {"position": 804, "speed": 8000}, "1": {"position": 804, "speed": 8000}}',""
0.28,POSITION,'{"0": {"position": 2016, "speed": 8000}}',""
0.29,POSITION,'{"2": {"position": 1467, "speed": 8000}, "3": {"position": 1532, "speed": 8000}}',""
0.29,POSITION,'{"4": {"position": 813, "speed": 8000}, "1": {"position": 813, "speed": 8000}}',""
0.29,POSITION,'{"0": {"position": 1991, "speed": 8000}}',""
0.3,POSITION,'{"2": {"position": 1486, "speed": 8000}, "3": {"position": 1513, "speed": 8000}}',""
0.3,POSITION,'{"4": {"position": 843, "speed": 8000}, "1": {"position": 843, "speed": 8000}}',""
0.31,POSITION,'{"0": {"position": 1813, "speed": 8000}}',""
0.32,POSITION,'{"2": {"position": 1501, "speed": 8000}, "3": {"position": 1498, "speed": 8000}}',""
0.32,POSITION,'{"4": {"position": 885, "speed": 8000}, "1": {"position": 885, "speed": 8000}}',""
0.32,POSITION,'{"0": {"position": 1799, "speed": 8000}}',""
0.33,POSITION,'{"2": {"position": 1513, "speed": 8000}, "3": {"position": 1486, "speed": 8000}}',""
0.33,POSITION,'{"4": {"position": 940, "speed": 8000}, "1": {"position": 940, "speed": 8000}}',""
0.33,POSITION,'{"0": {"position": 1764, "speed": 8000}}',""
0.35,POSITION,'{"2": {"position": 1522, "speed": 8000}, "3": {"position": 1477, "speed": 8000}}',""
0.35,POSITION,'{"4": {"position": 1103, "speed": 8000}, "1": {"position": 1103, "speed": 8000}}',""
0.35,POSITION,'{"0": {"position": 1711, "speed": 8000}}',""
