time,instruction,arg_1,arg_2
0.0,POSITION,'{"7": {"position": 1475, "speed": 8000}, "6": {"position": 1592, "speed": 8000}}',""
0.0,POSITION,'{"5": {"position": 1636, "speed": 8000}}',""
0.06,POSITION,'{"7": {"position": 1478, "speed": 8000}, "6": {"position": 1589, "speed": 8000}}',""
0.06,POSITION,'{"5": {"position": 1609, "speed": 8000}}',""
0.08,POSITION,'{"7": {"position": 1480, "speed": 8000}, "6": {"position": 1587, "speed": 8000}}',""
0.08,POSITION,'{"5": {"position": 1584, "speed": 8000}}',""
0.09,POSITION,'{"7": {"position": 1483, "speed": 8000}, "6": {"position": 1582, "speed": 8000}}',""
0.09,POSITION,'{"5": {"position": 1544, "speed": 8000}}',""
0.11,POSITION,'{"7": {"position": 1488, "speed": 8000}, "6": {"position": 1577, "speed": 8000}}',""
0.11,POSITION,'{"5": {"position": 1493, "speed": 8000}}',""
0.13,POSITION,'{"7": {"position": 1493, "speed": 8000}, "6": {"position": 1571, "speed": 8000}}',""
0.13,POSITION,'{"5": {"position": 1338, "speed": 8000}}',""
0.14,POSITION,'{"7": {"position": 1495, "speed": 8000}, "6": {"position": 1568, "speed": 8000}}',""
0.14,POSITION,'{"5": {"position": 1324, "speed": 8000}}',""
0.15,POSITION,'{"7": {"position": 1499, "speed": 8000}, "6": {"position": 1562, "speed": 8000}}',""
0.16,POSITION,'{"5": {"position": 1295, "speed": 8000}}',""
0.17,POSITION,'{"7": {"position": 1502, "speed": 8000}, "6": {"position": 1559, "speed": 8000}}',""
0.17,POSITION,'{"5": {"position": 1262, "speed": 8000}}',""
0.18,POSITION,'{"5": {"position": 1248, "speed": 8000}}',""
0.19,POSITION,'{"7": {"position": 1504, "speed": 8000}, "6": {"position": 1556, "speed": 8000}}',""
0.2,POSITION,'{"5": {"position": 1227, "speed": 8000}}',""
0.21,POSITION,'{"5": {"position": 1214, "speed": 8000}}',""
0.22,POSITION,'{"5": {"position": 1209, "speed": 8000}}',""
0.23,POSITION,'{"7": {"position": 1506, "speed": 8000}, "6": {"position": 1554, "speed": 8000}}',""
0.23,POSITION,'{"5": {"position": 1202, "speed": 8000}}',""
0.25,POSITION,'{"5": {"position": 1197, "speed": 8000}}',""
0.26,POSITION,'{"5": {"position": 1195, "speed": 8000}}',""
0.28,POSITION,'{"5": {"position": 1192, "speed": 8000}}',""
0.32,POSITION,'{"5": {"position": 1188, "speed": 8000}}',""
0.33,POSITION,'{"5": {"position": 1185, "speed": 8000}}',""
0.34,POSITION,'{"5": {"position": 1183, "speed": 8000}}',""
0.37,POSITION,'{"5": {"position": 1180, "speed": 8000}}',""
0.39,POSITION,'{"5": {"position": 1178, "speed": 8000}}',""
0.4,POSITION,'{"5": {"position": 1181, "speed": 8000}}',""
0.42,POSITION,'{"5": {"position": 1185, "speed": 8000}}',""
0.43,POSITION,'{"5": {"position": 1209, "speed": 8000}}',""
0.44,POSITION,'{"5": {"position": 1229, "speed": 8000}}',""
0.45,POSITION,'{"7": {"position": 1503, "speed": 8000}, "6": {"position": 1557, "speed": 8000}}',""
0.45,POSITION,'{"5": {"position": 1395, "speed": 8000}}',""
0.47,POSITION,'{"7": {"position": 1500, "speed": 8000}, "6": {"position": 1562, "speed": 8000}}',""
0.47,POSITION,'{"5": {"position": 1573, "speed": 8000}}',""
0.48,POSITION,'{"7": {"position": 1497, "speed": 8000}, "6": {"position": 1565, "speed": 8000}}',""
0.48,POSITION,'{"5": {"position": 1585, "speed": 8000}}',""
0.49,POSITION,'{"7": {"position": 1491, "speed": 8000}, "6": {"position": 1572, "speed": 8000}}',""
0.49,POSITION,'{"5": {"position": 1630, "speed": 8000}}',""
0.51,POSITION,'{"7": {"position": 1485, "speed": 8000}, "6": {"position": 1580, "speed": 8000}}',""
0.51,POSITION,'{"5": {"position": 1682, "speed": 8000}}',""
0.52,POSITION,'{"7": {"position": 1483, "speed": 8000}, "6": {"position": 1582, "speed": 8000}}',""
0.52,POSITION,'{"5": {"position": 1704, "speed": 8000}}',""
0.53,POSITION,'{"7": {"position": 1480, "speed": 8000}, "6": {"position": 1586, "speed": 8000}}',""
0.54,POSITION,'{"5": {"position": 1737, "speed": 8000}}',""
0.55,POSITION,'{"7": {"position": 1478, "speed": 8000}, "6": {"position": 1589, "speed": 8000}}',""
